,Name,URL
89,Butterbeer,https://www.theeducatedbarfly.com/butterbeer/
90,Hot Buttered Rum,https://www.theeducatedbarfly.com/hot-buttered-rum/
91,Milk Punch,https://www.theeducatedbarfly.com/milk-punch/
92,Coffee Cocktail,https://www.theeducatedbarfly.com/coffee-cocktail/
93,Mad Hatter,https://www.theeducatedbarfly.com/mad-hatter/
94,Absinthe Frappé,https://www.theeducatedbarfly.com/absinthe-frappe/
95,Junior,https://www.theeducatedbarfly.com/junior/
96,Sloe Gin Fizz,https://www.theeducatedbarfly.com/sloe-gin-fizz/
97,Hurricane,https://www.theeducatedbarfly.com/hurricane/
98,Prescription Julep,https://www.theeducatedbarfly.com/prescription-julep/
99,Millionaire,https://www.theeducatedbarfly.com/millionaire/
100,12 Mile Limit,https://www.theeducatedbarfly.com/12-mile-limit/
101,Death in the Gulf Stream,https://www.theeducatedbarfly.com/death-in-the-gulf-stream/
102,Sex on the Beach,https://www.theeducatedbarfly.com/sex-on-the-beach/
103,Long Island Ice Tea,https://www.theeducatedbarfly.com/long-island-ice-tea/
104,Commando,https://www.theeducatedbarfly.com/commando/
105,Daiquiri,https://www.theeducatedbarfly.com/daiquiri/
106,Mexican Firing Squad,https://www.theeducatedbarfly.com/mexican-firing-squad/
107,Aperol Spritz,https://www.theeducatedbarfly.com/aperol-spritz/
108,Old Fashioned Recipe,https://www.theeducatedbarfly.com/old-fashioned/
109,Monte Carlo,https://www.theeducatedbarfly.com/monte-carlo/
110,French 75,https://www.theeducatedbarfly.com/french-75/
111,Champagne Cocktail,https://www.theeducatedbarfly.com/champagne-cocktail/
112,Boulevardier,https://www.theeducatedbarfly.com/boulevardier/
113,Jack Rose,https://www.theeducatedbarfly.com/jack-rose/
114,Bee’s Knees,https://www.theeducatedbarfly.com/bees-knees/
115,Negroni,https://www.theeducatedbarfly.com/negroni/
116,Manhattan,https://www.theeducatedbarfly.com/manhattan/
117,Sazerac,https://www.theeducatedbarfly.com/sazerac/
118,Monte Cassino,https://www.theeducatedbarfly.com/monte-cassino/
119,Ellison,https://www.theeducatedbarfly.com/ellison/
120,Trident,https://www.theeducatedbarfly.com/trident/
121,Garibaldi,https://www.theeducatedbarfly.com/garibaldi-2/
122,El Pepino,https://www.theeducatedbarfly.com/el-pepino/
123,1910,https://www.theeducatedbarfly.com/1910-2/
124,The Original Clover Club,https://www.theeducatedbarfly.com/the-original-clover-club/
125,Colonial Ties,https://www.theeducatedbarfly.com/colonial-ties/
126,Dry Daiquiri,https://www.theeducatedbarfly.com/dry-daiquiri/
127,Flamingo in the Forest,https://www.theeducatedbarfly.com/flamingo-in-the-forest/
128,Raspberry Fix,https://www.theeducatedbarfly.com/raspberry-fix/
129,50/50 Margarita,https://www.theeducatedbarfly.com/50-50-margarita/
130,Breakfast In Bed,https://www.theeducatedbarfly.com/breakfast-in-bed/
131,The Goldfinch,https://www.theeducatedbarfly.com/the-goldfinch/
132,Red Hook,https://www.theeducatedbarfly.com/red-hook/
133,Joy Division,https://www.theeducatedbarfly.com/joy-division/
134,Elder Fashioned,https://www.theeducatedbarfly.com/elder-fashioned/
135,Mr. Brown,https://www.theeducatedbarfly.com/mr-brown/
136,Black Manhattan,https://www.theeducatedbarfly.com/black-manhattan/
137,Frozen Strawberry Negroni,https://www.theeducatedbarfly.com/frozen-strawberry-negroni/
138,Grohl Whip,https://www.theeducatedbarfly.com/grohl-whip/
139,Venetian Breeze,https://www.theeducatedbarfly.com/venetian-breeze/
140,Lavender Spriz Lemonade,https://www.theeducatedbarfly.com/lavender-spriz-lemonade/
141,Ann Darrow,https://www.theeducatedbarfly.com/ann-darrow/
142,Gold Rush,https://www.theeducatedbarfly.com/gold-rush/
143,Double Pineapple,https://www.theeducatedbarfly.com/double-pineapple/
144,Pineapple Old Fashioned,https://www.theeducatedbarfly.com/pineapple-old-fashioned/
145,Old Sweet Song,https://www.theeducatedbarfly.com/old-sweet-song/
146,Grenadine Sour,https://www.theeducatedbarfly.com/grenadine-sour/
147,King Of The House,https://www.theeducatedbarfly.com/king-of-the-house/
148,Maximillian Affair,https://www.theeducatedbarfly.com/maximillian-affair/
149,Amaretto Sour,https://www.theeducatedbarfly.com/amaretto-sour/
150,Siesta,https://www.theeducatedbarfly.com/siesta/
151,Ginger Rogers,https://www.theeducatedbarfly.com/ginger-rogers/
152,Strawberry Daiquiri,https://www.theeducatedbarfly.com/strawberry-daiquiri/
153,Strawberry Negroni,https://www.theeducatedbarfly.com/strawberry-negroni/
154,Strawberry Caipirinha,https://www.theeducatedbarfly.com/strawberry-caipirinha/
155,Strawberry Nights,https://www.theeducatedbarfly.com/strawberry-nights/
156,Bitter Old Man,https://www.theeducatedbarfly.com/bitter-old-man/
157,Polka Dot Negroni,https://www.theeducatedbarfly.com/polka-dot-negroni/
158,Cable Car,https://www.theeducatedbarfly.com/cable-car/
159,Cosmonaut,https://www.theeducatedbarfly.com/cosmonaut/
160,On the Run,https://www.theeducatedbarfly.com/on-the-run/
161,Pago Pago,https://www.theeducatedbarfly.com/pago-pago/
162,Love & Murder,https://www.theeducatedbarfly.com/love-murder/
163,Prince Henry Punch,https://www.theeducatedbarfly.com/prince-henry-punch/
164,Quick & Dirty Gimlet,https://www.theeducatedbarfly.com/quick-dirty/
165,Russian Spring Punch,https://www.theeducatedbarfly.com/russian-spring-punch/
166,Grapefruit Cooler,https://www.theeducatedbarfly.com/grapefruit-cooler/
167,French Martini,https://www.theeducatedbarfly.com/french-martini/
168,Duke Martini,https://www.theeducatedbarfly.com/duke-martini/
169,Session Margarita,https://www.theeducatedbarfly.com/session-margarita/
170,Avocado Margarita,https://www.theeducatedbarfly.com/avocado-margarita/
171,Frozen Margarita,https://www.theeducatedbarfly.com/frozen-margarita/
172,Strawberry Margarita,https://www.theeducatedbarfly.com/strawberry-margarita/
173,Parmesan Espresso Martini No. 2,https://www.theeducatedbarfly.com/parmesan-espresso-martini-no-2/
174,Oleato Golden Foam Espresso Martini,https://www.theeducatedbarfly.com/golden-foam-espresso-martini/
175,Parmesan Espresso Martini,https://www.theeducatedbarfly.com/parmesan-espresso-martini/
176,Dark Star,https://www.theeducatedbarfly.com/dark-star/
177,Piña y Caña,https://www.theeducatedbarfly.com/pina-y-cana/
178,Charanda Güey,https://www.theeducatedbarfly.com/charanda-guey/
179,Killer On Ice,https://www.theeducatedbarfly.com/killer-on-ice/
180,Old Mexican Cough Syrup,https://www.theeducatedbarfly.com/old-mexican-cough-syrup/
181,Pineapple Daiquiri No. 2,https://www.theeducatedbarfly.com/pineapple-daiquiri-no-2/
182,Greenhorn,https://www.theeducatedbarfly.com/greenhorn/
183,Final Straw,https://www.theeducatedbarfly.com/final-straw/
184,Mezcal Mule,https://www.theeducatedbarfly.com/mezcal-mule/
185,Jasmine,https://www.theeducatedbarfly.com/jasmine/
186,Kill Devil,https://www.theeducatedbarfly.com/kill-devil/
187,Suplada Spritz,https://www.theeducatedbarfly.com/suplada-spritz/
188,Ube Colada,https://www.theeducatedbarfly.com/ube-colada/
189,Bergamot Garibaldi,https://www.theeducatedbarfly.com/bergamot-garibaldi/
190,Bergamot Negroni,https://www.theeducatedbarfly.com/bergamot-negroni/
191,Coffee And Tonic,https://www.theeducatedbarfly.com/coffee-and-tonic/
192,King’s Breakfast,https://www.theeducatedbarfly.com/kings-breakfast/
193,Neruda,https://www.theeducatedbarfly.com/neruda/
194,Mr. Peanut,https://www.theeducatedbarfly.com/mr-peanut/
195,Apricot BLVD,https://www.theeducatedbarfly.com/apricot-blvd/
196,The Slope,https://www.theeducatedbarfly.com/the-slope/
197,The Art of Choke,https://www.theeducatedbarfly.com/the-art-of-choke/
198,The Alligator,https://www.theeducatedbarfly.com/the-alligator/
199,Color In Your Cheeks,https://www.theeducatedbarfly.com/color-in-your-cheeks/
200,Tea Tree Sour,https://www.theeducatedbarfly.com/tea-tree-sour/
201,Stirred on Third,https://www.theeducatedbarfly.com/stirred-on-third/
202,The Gem,https://www.theeducatedbarfly.com/the-gem/
203,Milano-Torino Sour,https://www.theeducatedbarfly.com/milano-torino-sour/
204,Rum Old Fashioned,https://www.theeducatedbarfly.com/rum-old-fashioned/
205,Clarified Whiskey Sour (Milk),https://www.theeducatedbarfly.com/clarified-whiskey-sour-milk/
206,Clarified Whiskey Sour (Coconut),https://www.theeducatedbarfly.com/clarified-whiskey-sour-coconut/
207,Intro To Aperol,https://www.theeducatedbarfly.com/intro-to-aperol/
208,Oaxaca Old Fashioned,https://www.theeducatedbarfly.com/oaxaca-old-fashioned/
209,Tommy’s Margarita,https://www.theeducatedbarfly.com/tommys-margarita/
210,White Negroni,https://www.theeducatedbarfly.com/white-negroni/
211,Basil Gimlet,https://www.theeducatedbarfly.com/basil-gimlet/
212,City Of Angels Chuhi,https://www.theeducatedbarfly.com/city-of-angels-chuhi/
213,Means Of Preservation,https://www.theeducatedbarfly.com/means-of-preservation/
214,Paris Is Burning,https://www.theeducatedbarfly.com/paris-is-burning/
